,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
78,78,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1422,4193
79,79,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6630,2113,4517
80,80,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8450,2196,6254
81,81,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5788,1969,3819
82,82,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4600,2211,2389
83,83,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5658,2032,3626
84,84,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5614,2145,3469
85,85,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1571,4044
86,86,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8658,2103,6555
87,87,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5616,2119,3497
88,88,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6586,2194,4392
89,89,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5616,1579,4037
90,90,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6674,2003,4671
91,91,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6632,2046,4586
92,92,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1472,4143
93,93,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6633,1989,4644
94,94,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6630,2096,4534
95,95,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6586,2315,4271
96,96,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4644,2201,2443
97,97,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6586,2016,4570
98,98,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6670,2229,4441
99,99,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2085,3530
